1: 24.10.2014.19.2.38.227
#BESTVELA,COM1,0,58.5,FINESTEERING,1815,493260.800,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,221.000,0.0336,166.242521,-0.0081,0.0*311e9391
2: 24.10.2014.19.2.38.228
#BESTUTMA,COM1,0,58.5,FINESTEERING,1815,493260.800,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.5677,434255.8274,666.3304,52.1000,WGS84,2.9417,2.1741,5.1275,"0",221.000,0.000,17,13,0,0,0,08,0,01*85624e19
3: 24.10.2014.19.2.38.229
#BESTVELA,COM1,0,58.5,FINESTEERING,1815,493261.000,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,221.200,0.0266,301.963850,-0.0172,0.0*042c89ef
4: 24.10.2014.19.2.38.230
#BESTUTMA,COM1,0,58.5,FINESTEERING,1815,493261.000,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.5842,434255.8075,666.3376,52.1000,WGS84,2.9461,2.1774,5.1355,"0",221.200,0.000,16,13,0,0,0,08,0,01*4d7db485
5: 24.10.2014.19.2.38.231
#BESTVELA,COM1,0,58.5,FINESTEERING,1815,493261.200,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,221.400,0.0289,162.903724,0.0165,0.0*696d6084
6: 24.10.2014.19.2.38.232
#BESTUTMA,COM1,0,58.5,FINESTEERING,1815,493261.200,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.5773,434255.8008,666.3382,52.1000,WGS84,2.9507,2.1809,5.1437,"0",221.400,0.000,16,13,0,0,0,08,0,01*5c39c3ec
7: 24.10.2014.19.2.38.233
#BESTVELA,COM1,0,58.5,FINESTEERING,1815,493261.400,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,221.600,0.0509,353.763645,-0.0428,0.0*2e5a22fc
8: 24.10.2014.19.2.38.234
#BESTUTMA,COM1,0,58.5,FINESTEERING,1815,493261.400,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.5758,434255.8083,666.3249,52.1000,WGS84,2.9556,2.1845,5.1520,"0",221.600,0.000,17,13,0,0,0,08,0,01*55026f3d
9: 24.10.2014.19.2.38.235
#BESTVELA,COM1,0,58.5,FINESTEERING,1815,493261.600,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,221.800,0.0189,137.506106,-0.0046,0.0*9efc09ed
10: 24.10.2014.19.2.38.235
#BESTUTMA,COM1,0,58.5,FINESTEERING,1815,493261.600,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.5869,434255.7969,666.3262,52.1000,WGS84,2.9600,2.1875,5.1602,"0",221.800,0.000,17,13,0,0,0,08,0,01*e526426d
11: 24.10.2014.19.2.38.237
#BESTVELA,COM1,0,58.5,FINESTEERING,1815,493261.800,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,222.000,0.0069,236.559521,0.0064,0.0*b4c123f2
12: 24.10.2014.19.2.38.237
#BESTUTMA,COM1,0,58.5,FINESTEERING,1815,493261.800,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.5816,434255.7895,666.3270,52.1000,WGS84,2.9645,2.1910,5.1682,"0",222.000,0.000,18,13,0,0,0,08,0,01*5b435093
13: 24.10.2014.19.2.38.238
#BESTVELA,COM1,0,60.0,FINESTEERING,1815,493262.000,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,222.200,0.0280,238.331365,0.0043,0.0*0d8baaeb
14: 24.10.2014.19.2.38.240
#BESTUTMA,COM1,0,60.0,FINESTEERING,1815,493262.000,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.5717,434255.7904,666.3247,52.1000,WGS84,2.9689,2.1944,5.1763,"0",222.200,0.000,18,13,0,0,0,08,0,01*df181fcc
15: 24.10.2014.19.2.38.241
#BESTVELA,COM1,0,60.0,FINESTEERING,1815,493262.200,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,222.400,0.0418,350.771206,-0.0029,0.0*cc44d29c
16: 24.10.2014.19.2.38.241
#BESTUTMA,COM1,0,60.0,FINESTEERING,1815,493262.200,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.5499,434255.8072,666.3246,52.1000,WGS84,2.9735,2.1979,5.1843,"0",222.400,0.000,18,13,0,0,0,08,0,01*a6cc7358
17: 24.10.2014.19.2.38.242
#BESTVELA,COM1,0,60.0,FINESTEERING,1815,493262.400,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,222.600,0.0010,170.859253,-0.0099,0.0*6b5b9200
18: 24.10.2014.19.2.38.243
#BESTUTMA,COM1,0,60.0,FINESTEERING,1815,493262.400,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.5338,434255.8079,666.3376,52.1000,WGS84,2.9782,2.2016,5.1925,"0",222.600,0.000,17,13,0,0,0,08,0,01*5f2126a5
19: 24.10.2014.19.2.38.316
#BESTVELA,COM1,0,60.0,FINESTEERING,1815,493262.600,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,222.800,0.0435,60.251915,-0.0422,0.0*b883ccc5
20: 24.10.2014.19.2.38.395
#BESTUTMA,COM1,0,60.0,FINESTEERING,1815,493262.600,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.5293,434255.8077,666.3319,52.1000,WGS84,2.9826,2.2048,5.2006,"0",222.800,0.000,18,13,0,0,0,08,0,01*01fc2aa4
21: 24.10.2014.19.2.38.507
#BESTVELA,COM1,0,60.0,FINESTEERING,1815,493262.800,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,223.000,0.0204,316.923163,-0.0142,0.0*19ecee64
22: 24.10.2014.19.2.38.603
